iter	Passed	Remaining
407	6150	8924
408	6165	8908
409	6179	8892
410	6193	8876
411	6207	8859
412	6222	8844
413	6236	8827
414	6250	8811
415	6265	8795
416	6279	8779
417	6293	8763
418	6309	8749
419	6325	8734
420	6339	8718
421	6353	8702
422	6368	8687
423	6384	8673
424	6401	8660
425	6418	8648
426	6434	8635
427	6451	8621
428	6467	8608
429	6484	8595
430	6500	8581
431	6517	8569
432	6533	8554
433	6547	8538
434	6561	8522
435	6576	8507
436	6592	8492
437	6608	8478
438	6622	8462
439	6637	8447
440	6651	8431
441	6666	8415
442	6679	8399
443	6695	8384
444	6710	8368
445	6724	8352
446	6738	8336
447	6752	8320
448	6766	8303
449	6781	8287
450	6795	8272
451	6810	8256
452	6825	8241
453	6839	8225
454	6854	8210
455	6868	8194
456	6884	8179
457	6898	8164
458	6913	8148
459	6928	8133
460	6941	8116
461	6955	8100
462	6970	8084
463	6985	8069
464	6999	8053
465	7014	8037
466	7029	8023
467	7045	8009
468	7059	7993
469	7074	7977
470	7088	7961
471	7102	7944
472	7116	7929
473	7131	7913
474	7145	7897
475	7159	7881
476	7173	7865
477	7188	7849
478	7201	7833
479	7216	7818
480	7230	7801
481	7245	7786
482	7260	7771
483	7274	7755
484	7288	7739
485	7302	7723
486	7318	7708
487	7332	7693
488	7346	7677
489	7360	7661
490	7374	7645
491	7388	7628
492	7403	7613
493	7417	7597
494	7432	7582
495	7447	7567
496	7462	7552
497	7479	7539
498	7493	7523
499	7507	7507
500	7522	7492
501	7535	7475
502	7550	7460
503	7564	7444
504	7580	7430
505	7594	7414
506	7608	7398
507	7623	7383
508	7636	7366
509	7651	7351
510	7666	7336
511	7681	7321
512	7696	7306
513	7710	7290
514	7723	7273
515	7738	7258
516	7752	7242
517	7766	7226
518	7781	7211
519	7795	7196
520	7809	7180
521	7823	7164
522	7837	7147
523	7851	7132
524	7865	7116
525	7879	7100
526	7894	7085
527	7909	7070
528	7925	7056
529	7939	7040
530	7953	7025
531	7968	7009
532	7982	6994
533	7996	6978
534	8011	6963
535	8027	6949
536	8041	6933
537	8055	6917
538	8070	6902
539	8085	6887
540	8100	6872
541	8114	6856
542	8129	6841
543	8144	6826
544	8159	6811
545	8172	6795
546	8186	6780
547	8202	6765
548	8216	6749
549	8231	6735
550	8245	6719
551	8260	6703
552	8274	6688
553	8288	6672
554	8303	6657
555	8318	6642
556	8333	6628
557	8348	6613
558	8363	6597
559	8377	6582
560	8392	6567
561	8407	6552
562	8421	6536
563	8436	6521
564	8450	6506
565	8465	6491
566	8480	6476
567	8495	6461
568	8511	6446
569	8525	6431
570	8540	6416
571	8555	6401
572	8569	6386
573	8584	6370
574	8597	6354
575	8612	6339
576	8626	6324
577	8641	6309
578	8655	6293
579	8669	6278
580	8683	6262
581	8698	6247
582	8712	6231
583	8727	6216
584	8741	6201
585	8756	6186
586	8770	6170
587	8784	6155
588	8799	6139
589	8813	6124
590	8827	6109
591	8842	6093
592	8856	6078
593	8870	6062
594	8884	6047
595	8899	6032
596	8913	6016
597	8928	6002
598	8942	5986
599	8956	5971
600	8970	5955
601	8985	5940
602	8999	5925
603	9014	5910
604	9027	5894
605	9041	5878
606	9056	5863
607	9069	5847
608	9084	5832
609	9098	5816
610	9112	5801
611	9127	5786
612	9141	5771
613	9156	5756
614	9170	5740
615	9184	5725
616	9198	5709
617	9212	5694
618	9227	5679
619	9241	5663
620	9255	5648
621	9269	5633
622	9283	5617
623	9297	5602
624	9311	5587
625	9326	5571
626	9342	5558
627	9358	5543
628	9371	5527
629	9385	5511
630	9399	5496
631	9415	5482
632	9429	5467
633	9445	5452
634	9459	5437
635	9474	5422
636	9488	5407
637	9503	5392
638	9517	5376
639	9531	5361
640	9546	5346
641	9561	5331
642	9576	5316
643	9591	5302
644	9605	5286
645	9619	5271
646	9634	5256
647	9650	5242
648	9667	5228
649	9685	5215
650	9704	5202
651	9732	5194
652	9753	5182
653	9771	5169
654	9791	5157
655	9809	5144
656	9827	5130
657	9843	5116
658	9859	5101
659	9876	5087
660	9893	5073
661	9909	5059
662	9926	5045
663	9942	5031
664	9959	5017
665	9976	5002
666	9993	4989
667	10010	4975
668	10026	4961
669	10043	4946
670	10059	4932
671	10075	4917
672	10089	4902
673	10105	4887
674	10119	4872
675	10133	4857
676	10148	4841
677	10162	4826
678	10176	4811
679	10191	4796
680	10208	4781
681	10224	4767
682	10238	4751
683	10253	4736
684	10267	4721
685	10282	4706
686	10296	4691
687	10312	4676
688	10327	4661
689	10341	4646
690	10360	4633
691	10377	4618
692	10392	4603
693	10406	4588
694	10422	4573
695	10436	4558
696	10451	4543
697	10465	4528
698	10480	4512
699	10494	4497
700	10507	4481
701	10522	4466
702	10536	4451
703	10550	4436
704	10564	4420
705	10580	4405
706	10594	4390
707	10608	4375
708	10624	4360
709	10638	4345
710	10652	4330
711	10669	4315
712	10685	4301
713	10699	4285
714	10713	4270
715	10728	4255
716	10742	4240
717	10757	4225
718	10771	4209
719	10786	4194
720	10800	4179
721	10815	4164
722	10829	4149
723	10843	4133
724	10857	4118
725	10872	4103
726	10887	4088
727	10900	4072
728	10915	4057
729	10929	4042
730	10944	4027
731	10957	4011
732	10973	3997
733	10987	3981
734	11002	3966
735	11016	3951
736	11030	3936
737	11045	3921
738	11059	3905
739	11072	3890
740	11087	3875
741	11101	3860
742	11115	3844
743	11130	3829
744	11145	3814
745	11160	3799
746	11174	3784
747	11189	3769
748	11204	3754
749	11218	3739
750	11233	3724
751	11248	3709
752	11262	3694
753	11276	3679
754	11290	3663
755	11305	3648
756	11320	3633
757	11334	3618
758	11349	3603
759	11365	3589
760	11379	3573
761	11393	3558
762	11409	3543
763	11422	3528
764	11437	3513
765	11452	3498
766	11466	3483
767	11482	3468
768	11496	3453
769	11510	3438
770	11525	3423
771	11540	3408
772	11554	3392
773	11569	3378
774	11583	3362
775	11597	3347
776	11611	3332
777	11624	3317
778	11640	3302
779	11655	3287
780	11669	3272
781	11684	3257
782	11698	3241
783	11712	3226
784	11725	3211
785	11740	3196
786	11755	3181
787	11770	3166
788	11784	3151
789	11799	3136
790	11813	3121
791	11827	3106
792	11842	3091
793	11858	3076
794	11874	3062
795	11889	3046
796	11903	3031
797	11917	3016
798	11931	3001
799	11945	2986
800	11960	2971
801	11974	2956
802	11988	2941
803	12003	2926
804	12017	2911
805	12031	2895
806	12045	2880
807	12059	2865
808	12073	2850
809	12089	2835
810	12102	2820
811	12117	2805
812	12131	2790
813	12146	2775
814	12161	2760
815	12175	2745
816	12189	2730
817	12202	2714
818	12216	2699
819	12232	2685
820	12247	2670
821	12263	2655
822	12278	2640
823	12294	2626
824	12308	2610
825	12323	2595
826	12338	2581
827	12352	2565
828	12367	2551
829	12382	2536
830	12397	2521
831	12411	2506
832	12425	2490
833	12439	2475
834	12454	2460
835	12467	2445
836	12482	2430
837	12497	2416
838	12513	2401
839	12529	2386
840	12543	2371
841	12558	2356
842	12572	2341
843	12585	2326
844	12599	2311
845	12614	2296
846	12628	2281
847	12643	2266
848	12657	2251
849	12672	2236
850	12686	2221
851	12700	2206
852	12716	2191
853	12732	2176
854	12746	2161
855	12759	2146
856	12774	2131
857	12788	2116
858	12802	2101
859	12816	2086
860	12830	2071
861	12844	2056
862	12859	2041
863	12872	2026
864	12887	2011
865	12901	1996
866	12915	1981
867	12929	1966
868	12945	1951
869	12961	1936
870	12976	1921
871	12990	1906
872	13004	1891
873	13018	1876
874	13032	1861
875	13046	1846
876	13060	1831
877	13074	1816
878	13088	1801
879	13102	1786
880	13117	1771
881	13131	1756
882	13146	1741
883	13162	1727
884	13177	1712
885	13191	1697
886	13205	1682
887	13219	1667
888	13233	1652
889	13247	1637
890	13261	1622
891	13278	1607
892	13293	1592
893	13307	1577
894	13322	1562
895	13336	1548
896	13351	1533
897	13365	1518
898	13383	1503
899	13399	1488
900	13414	1473
901	13429	1459
902	13444	1444
903	13458	1429
904	13473	1414
905	13488	1399
906	13502	1384
907	13516	1369
908	13531	1354
909	13546	1339
910	13560	1324
911	13575	1309
912	13589	1294
913	13604	1280
914	13619	1265
915	13633	1250
916	13648	1235
917	13662	1220
918	13677	1205
919	13690	1190
920	13706	1175
921	13720	1160
922	13734	1145
923	13749	1130
924	13763	1115
925	13777	1101
926	13792	1086
927	13807	1071
928	13822	1056
929	13836	1041
930	13850	1026
931	13865	1011
932	13879	996
933	13893	981
934	13907	966
935	13922	951
936	13936	937
937	13951	922
938	13966	907
939	13980	892
940	13994	877
941	14010	862
942	14023	847
943	14039	832
944	14053	817
945	14068	803
946	14082	788
947	14095	773
948	14110	758
949	14124	743
950	14139	728
951	14153	713
952	14167	698
953	14181	683
954	14195	668
955	14209	654
956	14224	639
957	14239	624
958	14254	609
959	14269	594
960	14283	579
961	14298	564
962	14312	549
963	14326	535
964	14341	520
965	14355	505
966	14372	490
967	14388	475
968	14406	460
969	14422	446
970	14439	431
971	14456	416
972	14474	401
973	14491	386
974	14509	372
975	14526	357
976	14543	342
977	14559	327
978	14575	312
979	14591	297
980	14608	282
981	14624	268
982	14642	253
983	14659	238
984	14677	223
985	14695	208
986	14711	193
987	14728	178
988	14745	164
989	14761	149
990	14777	134
991	14793	119
992	14809	104
993	14825	89
994	14842	74
995	14859	59
996	14875	44
997	14892	29
998	14908	14
999	14925	0
