iter	Logloss
0	0.6931127136
1	0.6930530212
2	0.6930151489
3	0.6929589478
4	0.6929100281
5	0.6928410645
6	0.6927940796
7	0.6927430176
8	0.6927269409
9	0.6926896118
10	0.6926495728
11	0.6926187805
12	0.6925815857
13	0.6925306213
14	0.6925048279
15	0.6924503601
16	0.6924146667
17	0.6923756531
18	0.6923240723
19	0.6922949829
20	0.692256543
21	0.6922189148
22	0.6921771179
23	0.6921495911
24	0.6921133606
25	0.6920614319
26	0.6920204346
27	0.6919715271
28	0.6919464844
29	0.6918973877
30	0.6918560791
31	0.6918097961
32	0.6917698059
33	0.6917500427
34	0.6917278992
35	0.6917048035
36	0.6916586365
37	0.6916275024
38	0.6915858582
39	0.6915605347
40	0.6915219666
41	0.6915061951
42	0.6914681702
43	0.6914286255
44	0.6913800537
45	0.6913434082
46	0.6913027832
47	0.6912785217
48	0.6912509827
49	0.6912072327
50	0.6911482788
51	0.6911069641
52	0.6910616394
53	0.6910044067
54	0.6909839539
55	0.690950769
56	0.6909259338
57	0.6908733826
58	0.6908403625
59	0.6907915588
60	0.6907694092
61	0.6907276001
62	0.690683844
63	0.6906371094
64	0.6905995728
65	0.6905617981
66	0.6905256531
67	0.6904840515
68	0.6904504944
69	0.6904127502
70	0.6903677673
71	0.6903380066
72	0.6903009033
73	0.6902839478
74	0.6902588989
75	0.6902146851
76	0.6901957275
77	0.690168396
78	0.6901091125
79	0.6900856567
80	0.690053949
81	0.6900051086
82	0.6899336548
83	0.6898968018
84	0.6898471008
85	0.6897993225
86	0.6897693054
87	0.6897230408
88	0.6897052246
89	0.6896723022
90	0.6896534302
91	0.6896269531
92	0.6895871948
93	0.6895445007
94	0.6895188782
95	0.6894691956
96	0.6894391785
97	0.6893869202
98	0.6893436768
99	0.6893118408
100	0.6892818298
101	0.6892504333
102	0.689201947
103	0.6891691895
104	0.6891236633
105	0.6891002991
106	0.6890652954
107	0.6890392212
108	0.6889984131
109	0.6889748779
110	0.6889511475
111	0.6889076843
112	0.6888724609
113	0.6888360901
114	0.6888173523
115	0.6887663513
116	0.6887304016
117	0.6887055847
118	0.6886757996
119	0.6886288513
120	0.688591748
121	0.6885635925
122	0.6885287537
123	0.6885050476
124	0.6884863831
